OrderID,CustomerID,CustomerName,Age,Gender,City,Product,Category,Quantity,Price,Discount,Sales,Rating,PaymentMethod,OrderDate
14711,1021,Frank,51.0,Female,Seattle,Tablet,Mobile,6,4941,10,26681.4,5.0,Credit Card,2024-10-18
10692,1060,Eva,37.0,Female,Chicago,Tablet,Office,7,864,5,5745.6,1.0,Debit Card,2024-04-21
10066,1236,Jack,52.0,Female,,Laptop,Mobile,7,548,15,3260.6,,Net Banking,2023-12-15
13427,1270,Ivy,27.0,Male,New York,Keyboard,Mobile,1,3919,5,3723.05,5.0,UPI,2023-06-16
14821,1193,Alice,63.0,Male,New York,Monitor,Accessories,3,2976,5,8481.6,5.0,UPI,2023-05-27
10394,1253,Eva,59.0,Male,Seattle,Printer,Office,2,2399,0,4798.0,5.0,UPI,2023-08-05
11425,1020,Grace,,Female,Houston,Headphones,Accessories,5,3144,5,14934.0,4.0,Cash,2023-09-23
10643,1221,Bob,64.0,Female,Miami,Phone,Office,7,4162,15,24763.9,3.0,Debit Card,2024-04-18
12836,1248,Alice,32.0,Female,Dallas,Monitor,Accessories,1,635,5,603.25,1.0,Cash,2024-11-18
11739,1227,Grace,32.0,Male,San Francisco,Laptop,Mobile,6,3290,5,18753.0,5.0,Credit Card,2024-08-06
12946,1074,Alice,38.0,Male,Houston,Headphones,Mobile,1,4729,15,4019.65,3.0,Net Banking,2023-12-29
12068,1096,Jack,44.0,Female,San Francisco,Keyboard,Office,6,1767,10,9541.8,4.0,Cash,2024-04-23
13348,1220,Alice,,Female,New York,Printer,Office,2,4478,10,8060.4,4.0,UPI,2024-01-11
10531,1140,Eva,50.0,Male,New York,Laptop,Office,4,3249,0,12996.0,5.0,Cash,2024-05-16
14302,1283,Bob,53.0,Female,Boston,Phone,Mobile,3,3115,15,7943.25,4.0,Credit Card,2024-12-26
10829,1009,Jack,67.0,Male,Miami,Tablet,Accessories,4,498,0,1992.0,2.0,Net Banking,2024-03-02
11205,1081,Grace,65.0,Female,Chicago,Monitor,Mobile,2,4912,5,9332.8,2.0,UPI,2023-12-21
10180,1217,Charlie,61.0,Female,San Francisco,Tablet,Mobile,6,1750,5,9975.0,4.0,Debit Card,2023-06-26
12766,1289,Charlie,33.0,Female,San Francisco,Phone,Office,7,491,15,2921.45,3.0,Credit Card,2024-02-07
11778,1035,Charlie,67.0,Male,Chicago,Printer,Electronics,1,690,10,621.0,1.0,UPI,2023-05-08
14928,1160,Helen,45.0,Female,Chicago,Phone,Office,1,1537,15,1306.45,5.0,Credit Card,2024-07-22
10492,1132,Charlie,64.0,Male,Dallas,Monitor,Accessories,2,4607,0,9214.0,3.0,Credit Card,2024-03-22
14654,1094,Ivy,42.0,Female,Chicago,Headphones,Electronics,6,3202,20,15369.6,4.0,Debit Card,2024-12-02
10034,1134,Bob,60.0,Male,Boston,Phone,Office,6,3245,20,15576.0,2.0,Debit Card,2023-05-24
13023,1156,Alice,60.0,Female,Boston,Keyboard,Office,5,1338,10,6021.0,1.0,Debit Card,2024-02-19
13621,1137,Grace,60.0,Male,Boston,Tablet,Accessories,3,1825,5,5201.25,5.0,Net Banking,2024-09-14
10486,1108,Eva,20.0,Female,Chicago,Tablet,Mobile,6,3290,15,16779.0,5.0,Debit Card,2024-01-07
10080,1138,Helen,65.0,Male,Chicago,Phone,Accessories,4,4112,10,14803.2,2.0,Cash,2023-07-14
11345,1169,Alice,40.0,Male,Houston,Mouse,Accessories,5,4033,20,16132.0,3.0,Cash,2024-05-17
10578,1040,Grace,62.0,Male,Boston,Laptop,Office,6,1560,5,8892.0,4.0,Debit Card,2024-09-03
11176,1011,David,,Male,Seattle,Tablet,Mobile,4,4897,15,16649.8,2.0,Debit Card,2023-04-18
11488,1085,Alice,54.0,Male,New York,Keyboard,Office,7,1189,15,7074.55,3.0,Cash,2023-01-19
10498,1238,Grace,68.0,Female,New York,Laptop,Accessories,4,2076,0,8304.0,4.0,Cash,2023-01-24
14103,1222,Ivy,23.0,Female,New York,Printer,Office,3,961,20,2306.4,3.0,UPI,2023-09-30
11145,1249,Bob,49.0,Female,Chicago,Laptop,Accessories,2,2740,5,5206.0,4.0,Net Banking,2023-07-05
13735,1121,Frank,26.0,Female,Miami,Keyboard,Mobile,2,4224,0,8448.0,4.0,Credit Card,2023-03-18
14238,1000,Helen,55.0,Female,Chicago,Tablet,Electronics,1,3068,0,3068.0,1.0,Debit Card,2024-07-30
13244,1138,Charlie,44.0,Female,San Francisco,Tablet,Electronics,5,3237,20,12948.0,1.0,Credit Card,2023-10-16
11236,1038,Ivy,47.0,Female,Boston,Keyboard,Electronics,5,950,15,4037.5,1.0,Credit Card,2023-12-19
14569,1240,Jack,22.0,Male,San Francisco,Printer,Accessories,6,1622,0,9732.0,5.0,Cash,2023-03-23
14268,1138,Charlie,36.0,Female,Seattle,Tablet,Office,2,2010,20,3216.0,3.0,Cash,2023-11-12
10625,1000,Frank,67.0,Female,Boston,Phone,Electronics,1,4797,5,4557.15,2.0,Debit Card,2023-03-20
11630,1043,Jack,44.0,Male,Houston,Phone,Office,1,2656,15,2257.6,3.0,Net Banking,2023-11-28
10200,1251,Grace,32.0,Female,Boston,Phone,Electronics,7,773,10,4869.9,5.0,Net Banking,2023-08-24
13614,1289,Grace,,Male,Houston,Headphones,Electronics,1,3121,10,2808.9,1.0,Credit Card,2024-07-07
11989,1252,Eva,22.0,Female,Dallas,Printer,Office,4,2186,10,7869.6,5.0,Net Banking,2023-04-25
12345,1177,Grace,,Female,Boston,Headphones,Mobile,4,823,10,2962.8,2.0,UPI,2023-01-29
13264,1080,Frank,41.0,Male,Chicago,Tablet,Electronics,3,4107,5,11704.95,2.0,UPI,2023-12-07
11906,1148,Bob,69.0,Female,Boston,Headphones,Electronics,7,325,15,1933.75,3.0,UPI,2024-07-02
10766,1110,Frank,51.0,Female,Chicago,Headphones,Mobile,2,1814,5,3446.6,2.0,Net Banking,2024-02-17
10804,1093,Bob,18.0,Male,New York,Headphones,Mobile,7,3846,0,26922.0,5.0,Debit Card,2024-07-27
11502,1193,Jack,29.0,Male,Miami,Tablet,Electronics,7,725,20,4060.0,2.0,Credit Card,2023-07-15
11771,1107,David,39.0,Female,Chicago,Laptop,Mobile,5,2709,0,13545.0,5.0,UPI,2023-04-02
10107,1282,David,64.0,Female,Dallas,Headphones,Electronics,3,2242,0,6726.0,1.0,Credit Card,2024-01-03
12965,1110,David,52.0,Male,Seattle,Headphones,Accessories,5,392,0,1960.0,3.0,Credit Card,2023-02-21
10839,1264,Helen,20.0,Male,Houston,Tablet,Mobile,3,353,0,1059.0,5.0,UPI,2024-10-18
13972,1138,Ivy,62.0,Male,Chicago,Phone,Accessories,6,1363,20,6542.4,1.0,Credit Card,2024-10-25
10706,1077,Bob,49.0,Female,Seattle,Tablet,Office,5,4087,15,17369.75,2.0,Credit Card,2024-12-04
14151,1228,Bob,47.0,Female,,Tablet,Mobile,6,1308,10,7063.2,3.0,Net Banking,2023-04-19
13180,1232,Jack,59.0,Female,San Francisco,Headphones,Electronics,5,4474,5,21251.5,3.0,Net Banking,2024-03-30
14777,1168,Grace,46.0,Female,Houston,Phone,Office,1,2449,10,2204.1,5.0,Debit Card,2023-03-10
10229,1119,Ivy,56.0,Male,San Francisco,Headphones,Accessories,4,4726,0,18904.0,1.0,Cash,2024-03-07
13337,1187,Alice,62.0,Female,Boston,Printer,Electronics,3,1251,5,3565.35,1.0,Net Banking,2024-09-08
12269,1112,Jack,32.0,Male,Houston,Mouse,Office,1,3464,0,3464.0,2.0,UPI,2024-01-04
13853,1043,Alice,,Female,New York,Tablet,Office,5,371,20,1484.0,3.0,Net Banking,2024-10-04
10502,1252,Bob,29.0,Male,Chicago,Tablet,Mobile,4,1091,20,3491.2,2.0,UPI,2024-05-16
13129,1185,Helen,21.0,Male,Chicago,Tablet,Electronics,7,1235,0,8645.0,1.0,UPI,2024-10-14
13353,1045,Bob,54.0,Male,Chicago,Monitor,Electronics,5,630,15,2677.5,5.0,Net Banking,2024-04-15
14175,1071,Grace,32.0,Male,Houston,Mouse,Office,2,400,0,800.0,3.0,Net Banking,2023-07-27
11635,1129,Jack,64.0,Female,San Francisco,Headphones,Electronics,5,2121,10,9544.5,3.0,Debit Card,2023-09-26
11481,1178,Grace,19.0,Female,New York,Laptop,Mobile,3,3846,20,9230.4,4.0,UPI,2023-11-25
12116,1216,Ivy,45.0,Male,,Monitor,Office,4,3080,15,10472.0,2.0,Debit Card,2023-03-23
14000,1259,Charlie,40.0,Female,Seattle,Phone,Accessories,2,3698,20,5916.8,5.0,Debit Card,2023-12-01
10562,1053,Grace,20.0,Female,Seattle,Phone,Office,6,1586,0,9516.0,2.0,Credit Card,2024-04-26
14199,1204,Frank,69.0,Female,Chicago,Monitor,Accessories,2,2656,5,5046.4,4.0,UPI,2024-05-30
13698,1176,Grace,29.0,Male,Seattle,Keyboard,Mobile,7,1445,10,9103.5,1.0,UPI,2023-09-10
11866,1199,Bob,62.0,Male,Dallas,Headphones,Electronics,4,2046,0,8184.0,1.0,Net Banking,2024-02-25
10280,1036,Charlie,61.0,Female,San Francisco,Mouse,Electronics,1,4742,5,4504.9,5.0,Cash,2024-12-23
12267,1227,Ivy,30.0,Male,New York,Phone,Electronics,6,3470,15,17697.0,3.0,Cash,2024-11-18
10158,1232,Charlie,29.0,Male,Houston,Headphones,Mobile,3,631,5,1798.35,3.0,Credit Card,2024-06-21
10539,1190,Helen,67.0,Female,Houston,Laptop,Mobile,3,2538,0,7614.0,3.0,Net Banking,2024-01-21
14115,1111,Alice,31.0,Female,Seattle,Mouse,Electronics,2,2734,0,5468.0,1.0,Debit Card,2024-03-08
14458,1049,Eva,50.0,Female,Chicago,Phone,Mobile,5,269,15,1143.25,3.0,UPI,2024-05-06
11651,1180,David,66.0,Male,San Francisco,Headphones,Electronics,6,1259,0,7554.0,1.0,Debit Card,2024-05-30
13151,1227,Frank,66.0,Female,Chicago,Mouse,Electronics,2,3842,0,7684.0,1.0,UPI,2023-01-16
10765,1145,Alice,24.0,Male,Houston,Keyboard,Office,2,311,20,497.6,5.0,Debit Card,2024-08-01
11865,1229,Alice,19.0,Female,Dallas,Keyboard,Accessories,6,4626,10,24980.4,3.0,Net Banking,2024-10-17
13486,1011,Helen,52.0,Female,Houston,Mouse,Mobile,6,699,20,3355.2,4.0,Debit Card,2023-08-03
10732,1077,Jack,23.0,Female,Seattle,Mouse,Mobile,5,3829,20,15316.0,2.0,UPI,2023-05-09
10085,1230,Eva,43.0,Male,New York,Tablet,Accessories,7,1204,20,6742.4,2.0,Net Banking,2023-11-23
12581,1264,Ivy,43.0,Female,Seattle,Mouse,Mobile,5,3900,15,16575.0,4.0,Debit Card,2023-08-15
